th_phangnga_khainaiisland.yml,dirtytin,No,100%,None
th_phranakhon_democracymonument.yml,nosto. dirtytin shunji ionlyboi,No,35%,None
th_plearnchit.yml,dirtytin,No,30%,None
th_rajamangala.yml,dirtytin,No,98%,None
th_ramkhamhaeng_langram.yml,artmanderth,No,65%,None
th_ramkhamhaeng_university.yml,dirtytin,No,80%,None
th_satorn.yml,dirtytin,No,50%,None
th_siphraya_pier.yml,nosto.,Yes,70%,None
th_sirat.yml,nosto.,Yes,65%,None
th_talingchan_watkaitai.yml,bkcom123,Yes,30%,None
th_worawihan.yml,danieltnc,No,80%,None
th_yotse.yml,staff,Yes,70%,None
thisistheplace.yml,unknown,idk bro remove this,Unknown,??? REMOVETHIS
tree.yml,staff,c,Unknown,None
vn_chuacau.yml,phattiel,No,30%,None
vn_hanoi_badinh_citadel.yml,monke,No,2%,None
vn_hochiminh.yml,phattiel sindadika,No,30%,None
vn_vungtau_jesus.yml,phattiel,No,1%,None
th_bangkok_talingchan_potisarnpittayakornschool.yml,bkcom123,No,Unknown,None
th_ayutthaya_watratchaburana.yml,unknown,No,Unknown,None
sg_woodlands.yml,unknown,Yes,10%,None
sg_tampines.yml,codestian,Yes,Unknown,None
sg_changi_airport.yml,codestian,No,Unknown,None
sg_bukit_batok_east.yml,codestian,No,Unknown,None
sg_cck_keat_hong.yml,rice,Yes,20%,None
th_ayutthaya_watyaichaimongkhon.yml,nosto.,Yes,60%,None
ph_manila_catedralmetropolitana.yml,areth,No,80%,None
sg_punggol_cove.yml,codestian,No,80%,None
id_centraljakarta_gambir_monas.yml,mukhliy\,No,Unknown,None
sg_cck_south_view.yml,rice,Yes,Unknown,None
sg_geylang_plots.yml,staff,No,Unknown,None
th_songkhla_hatyai_rajuthitroad.yml,catthaithai,No,Unknown,None
sg_tampines_north.yml,codestian,Yes,Unknown,None
vn_kontum_ngochoi_lacamvnborder.yml,unknown,c,Unknown,None
my_ptrjy_uitm_dengkil.yml,unknown,No,Unknown,None
sg_tampines_mart.yml,codestian,Yes,%,None
sg_tampines_east_1.yml,codestian,Yes,Unknown,None
th_yaowarat_chinatown.yml,nosto.,Yes,Unknown,None
sg_kampong_glam.yml,codestian,Yes,Unknown,None
sg_woodlands_admiralty.yml,codestian,Yes,Unknown,None
id_surabaya_kenjeran_suramadu.yml,unknown,unkown,Unknown,None
sg_bedok_north.yml,codestian,unkown,Unknown,None
la_thanaleng_thai-laobridge.yml,almond,No,Unknown,None
th_bangkok_bangpho_yothinburanaschoo_.yml,unknown,?,Unknown,None
sg_punggol_northshore_plots.yml,staff,,Unknown,None
vn_hochiminh_landmark81.yml,unknown,,Unknown,None
th_ayutthaya_ekathotsarotbridge.yml,unknown,,%,None
meta_1_sg_clementimall.yml,staff,,%,None
sg_tampines_changkat.yml,codestian,,%,None
th_bangkok_bangpho_yothinburanaschool.yml,megaplace,Yes,Unknown,None
th_sukhumvit_iranian-embassy.yml,unknown,,Unknown,None
